Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
4486614,4488474,nda=min kai nsa=na
4496744,4497654,anga=min
4499649,4501159,kai turasi waru=na
4503754,4504704,anga=min
4516479,4518239,waru=na<=to ittara>
4555109,4556699,waru=na<=ga ii=na>
4558564,4560604,wai=ni<=to iu=no=mo>
4563464,4564824,wai=ni
4568454,4569384,wai=ni
4570679,4571599,waru=na
4575759,4576809,kai turai
4579974,4581454,anga=min kai turai=jo
4594064,4595374,anga=min kai=jo
4606499,4608679,anga=min kai turasi waru=na
4620069,4620999,xxx
4628534,4630244,xxx
4639769,4642169,daruguti huti turasi waru=na
4643319,4645309,huti turasi waru=na
4734564,4736094,uma hugu=nna=jo
4742841,4744311,uma hugu=nna=jo
4746469,4749439,uma huti turai=jo<=to onegai>
4750714,4752610,huti turai=jo<=to sageru>
4762110,4762960,turai=jo<=tte>
4768035,4770505,uma huti turai=jo<=tte jasasiku>
4781060,4782510,uma hugu=nna
4812015,4813595,hugu=nna<=to ittara>
4827885,4829395,huti nsa=na
4831760,4833280,huti nsa=na
4833950,4835490,ma hugu=nna=jo
4836140,4837530,huni=nna=jo
4837695,4839305,huni=nna=jo<=to>
4857025,4858955,magai aru=nna=jo
4859260,4861350,magai aru=na<=to ittara>
4876525,4880245,magai aru=nna=jo<=mo>
4887315,4888185,magai
4893780,4895870,magai arai nsa=na
4900593,4901933,arai turai=jo
4902253,4905573,magai arai turai=jo<=to iu toki=ni=wa>
4917113,4918413,araa-arasiku
4951423,4953293,susui turasi wari=jo
4958932,4960722,susui turasi wari=jo
4971207,4976537,<teburu> susui turai=jo susui turasi wai=ni
4980572,4983402,susui turai=jo<=to iu=no meeree=sa=ne>
4985647,4987187,susui turai=jo
5018323,5019643,susui nsa=na
5028453,5030573,xxx
5034253,5035553,xxx
5068313,5070723,nida cidimi turasi wari=jo
5074118,5075748,cidimiri=jo
5077713,5080563,xxx
5096718,5098768,nda cidimi nsa=na
5124613,5127493,<sjasin> tui turasi wari=jo
5127973,5130803,<sjasin> tui turasi wari=jo
5138388,5140698,<sjasin> tui turasi wari=jo<=to>
5155681,5158371,<sjasin> tui nsa=na<=to iu toki=wa>
5159816,5161766,<sjasin> tui nsa=na
5163271,5166561,tui turasi wari=jo<=to iu=no=to> tui nsa=na
5168776,5169956,tui nsa=na
5179896,5181336,tui nsa=na<=ttara>
5185816,5187676,tui watan=ti=n nsa=n=do
5188216,5190186,tui watan=ti=n nsa=n=do
5201341,5202701,tui turasi wari
5219951,5222451,<sjasin> tui turasi wari=jo<=to=mo>
5228736,5230176,tui turasi wari=jo
5231066,5232256,o
5234561,5236241,turu=nggara=jo<=to=ka>
5242131,5243881,turu=nggara=jo<=to=ka>
5259776,5260486,o
5261261,5262931,tui wari=jo<=de=wa>
5292998,5295008,<hikakai>=du buru <hikakai>
5295793,5297293,<hikakai>=du buru
5301363,5302643,<hikakai>=du buru
5307855,5310025,<hikakai>=du buru<=to iu=no=wa=jo>
5428717,5429883,katikami
5445811,5449548,katikami katikami=du buru katikami
5453280,5457534,katikami=du buru katikami katikami
5461541,5462904,katikami=du buru
5476149,5477214,handasi<=ne>
5479305,5486032,u=ja katikami=du buru=nggara katikami=du buru=nggara handasi turasi wari=jo
5492704,5494358,handasi turai=jo
5509635,5510069,din
5514937,5517073,din irami turasi wari=jo
5558010,5559400,a irami nsa=na
5563817,5566788,kanu ttu=nki din irami nsa=na<=to iu toki=no>
5580816,5581840,sunguti<=dakara>
5596110,5597480,unu sunguti
5598341,5601005,<tosjokan>=nki muti turasi waru=na
5606535,5611180,unu sunguti <tosjokan>=nki muti turai=jo<=to=ka iu=sa>
5613082,5614486,muti turai=jo
5618752,5622584,unu sunguti <tosjokan>=nki muti turai=jo
5640997,5644970,angami gaku=nki sui turasi wari=jo
5646936,5648414,sui turasi wari=jo
5656164,5657921,sui hi turasi wari=jo
5671519,5673146,xxx
5678258,5681710,unu sunguti <tosjokan>=nki muti hi nsa=na
5691450,5693566,angami gaku=nki sui hi nsa=na
5698217,5699227,nsa=na
5712765,5715826,araagu hugarasa gandu ki wari=jo
5719548,5721753,gandu ki wari=jo<=to iu=no=wa=jo>
5725593,5727003,gandu ki wari=jo
5742551,5744050,gandu ki wari=jo
5758218,5760143,tudumirun<=to=ga iu=kedo>
5767920,5769805,gandu ki turasi wari=jo
5778256,5779490,tudumirun=to
5781877,5783254,araagu hugarasa
5785942,5787576,araagu hugarasa
5788054,5789329,gandu ki wari=jo
